,date,open,high,low,close,volume,oi,SUPERT_7_1.0,SUPERTd_7_1.0,SUPERTl_7_1.0,SUPERTs_7_1.0,SUPERT_7_2.0,SUPERTd_7_2.0,SUPERTl_7_2.0,SUPERTs_7_2.0,SMA_44,VWAP_D,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
48,2021-07-20 14:15:00+05:30,90.0,90.0,87.75,89.0,75,5750,88.09563436060287,1,88.09563436060287,,99.3992048052134,-1,,99.3992048052134,125.39545454545454,89.60247933884297,77.57619395248001,,0.02,0
49,2021-07-20 14:45:00+05:30,89.0,89.0,84.6,88.0,1025,5200,91.93894491652003,-1,,91.93894491652003,97.07788983304006,-1,,97.07788983304006,123.19090909090909,89.25441696113074,77.98567007343041,,0.02,0
50,2021-07-20 15:15:00+05:30,88.0,88.0,81.9,85.25,175,4875,90.22623849987431,-1,,90.22623849987431,95.50247699974862,-1,,95.50247699974862,120.76590909090909,89.15293103448276,78.3869566719618,,0.02,0
51,2021-07-22 09:15:00+05:30,95.05,111.35,91.0,97.65,325,4975,92.92393842867916,1,92.92393842867916,,84.67287685735832,1,84.67287685735832,,118.79090909090907,100.0,78.78021753852256,,0.04,0
52,2021-07-22 09:45:00+05:30,97.65,104.85,91.85,100.9,300,4925,92.92393842867916,1,92.92393842867916,,84.67287685735832,1,84.67287685735832,,117.04999999999997,99.616,80.08300883698166,,0.04,0
53,2021-07-22 10:15:00+05:30,100.9,100.9,99.05,99.85,200,4850,92.92393842867916,1,92.92393842867916,,84.67287685735832,1,84.67287685735832,,115.28522727272725,99.69292929292928,81.3336884835024,,0.04,0
54,2021-07-22 10:45:00+05:30,100.35,102.0,97.75,99.1,450,4675,92.92393842867916,1,92.92393842867916,,85.08678251075627,1,85.08678251075627,,113.5375,99.66601307189542,82.53434094416231,,0.04,0
55,2021-07-22 11:15:00+05:30,99.1,99.45,95.25,95.25,400,4675,92.92393842867916,1,92.92393842867916,,85.08678251075627,1,85.08678251075627,,111.74772727272726,98.9457711442786,83.68696730639581,,0.04,0
56,2021-07-22 11:45:00+05:30,95.25,95.25,93.3,93.3,50,4600,92.92393842867916,1,92.92393842867916,,85.08678251075627,1,85.08678251075627,,109.86931818181819,98.80096618357487,84.79348861413999,,0.04,0
57,2021-07-22 12:15:00+05:30,93.3,94.65,90.4,92.25,250,4475,98.46808305783769,-1,,98.46808305783769,85.08678251075627,1,85.08678251075627,,108.7840909090909,97.99493670886076,85.85574906957439,,0.04,0
58,2021-07-22 12:45:00+05:30,91.5,92.0,86.7,90.0,1400,4500,95.23692833528943,-1,,95.23692833528943,85.08678251075627,1,85.08678251075627,,107.49545454545455,94.49876543209876,,111.35,0.02,1
