,name,ltq,PCR,superTrend,14MACrossed28,44DMA,VWAP,PSAR,instrument_token,last Updated
70,HEROMOTOCO,300,0.5512,"No sell, but in Short",crossed above,buy,sell,In Short,345089,2021-09-23 12:19:24.225363
71,HINDALCO,2150,0.4440,"No buy, but in Long",crossed above,buy,buy,In Long,348929,2021-09-23 12:19:27.805526
72,HINDPETRO,2700,0.5091,"No sell, but in Short",crossed above,buy,buy,In Long,359937,2021-09-23 12:19:28.831717
73,HINDUNILVR,300,0.5675,"No sell, but in Short",crossed above,buy,buy,In Short,356865,2021-09-23 12:19:32.419575
74,IBULHSGFIN,3100,0.5104,"No buy, but in Long",crossed above,buy,buy,In Long,7712001,2021-09-23 12:19:35.991017
75,ICICIBANK,1375,0.4311,"No buy, but in Long",crossed above,buy,buy,In Long,1270529,2021-09-23 12:19:37.226340
76,ICICIGI,425,0,"No buy, but in Long",crossed below,sell,sell,In Long,5573121,2021-09-23 12:19:40.902814
77,ICICIPRULI,1500,0,"No buy, but in Long",crossed above,sell,buy,In Long,4774913,2021-09-23 12:19:44.668241
78,IDEA,70000,0,"No sell, but in Short",crossed above,buy,sell,In Long,3677697,2021-09-23 12:19:48.321543
79,IDFCFIRSTB,9500,0,"No sell, but in Short",crossed above,buy,sell,In Short,2863105,2021-09-23 12:19:52.007736
80,IEX,1250,0,"No buy, but in Long",crossed above,buy,sell,In Short,56321,2021-09-23 12:19:55.614709
81,IGL,1375,0,"No sell, but in Short",crossed below,sell,sell,In Short,2883073,2021-09-23 12:19:59.168446
82,INDHOTEL,3900,0.5804,"No buy, but in Long",crossed above,buy,buy,In Long,387073,2021-09-23 12:20:04.835501
83,INDIAMART,75,0.3241,"No sell, but in Short",crossed below,sell,sell,In Short,2745857,2021-09-23 12:20:06.027107
84,INDIGO,500,0.4925,"No sell, but in Short",crossed above,buy,buy,In Long,2865921,2021-09-23 12:20:09.697334
85,INDUSINDBK,900,0.6141,"No buy, but in Long",crossed above,buy,buy,In Short,1346049,2021-09-23 12:20:10.837937
86,INDUSTOWER,2800,0.5889,"No sell, but in Short",crossed above,buy,sell,In Short,7458561,2021-09-23 12:20:14.374463
87,INFY,600,0.4393,"No buy, but in Long",crossed above,buy,buy,In Long,408065,2021-09-23 12:20:18.010841
88,IOC,6500,0.6554,"No sell, but in Short",crossed above,buy,sell,In Short,415745,2021-09-23 12:20:21.652653
89,IPCALAB,225,0.0972,"No sell, but in Short",crossed below,sell,sell,In Short,418049,2021-09-23 12:20:22.482237
90,IRCTC,325,0.8351,"No buy, but in Long",crossed above,buy,sell,In Long,3484417,2021-09-23 12:20:26.080795
91,ITC,3200,0.6070,"No sell, but in Short",crossed below,sell,sell,In Short,424961,2021-09-23 12:20:29.664223
92,JINDALSTEL,2500,0.4614,"No buy, but in Long",crossed above,buy,sell,In Short,1723649,2021-09-23 12:20:33.354543
93,JSWSTEEL,1350,0.5845,"No sell, but in Short",crossed above,buy,sell,In Short,3001089,2021-09-23 12:20:34.068187
94,JUBLFOOD,250,0.4315,"No buy, but in Long",crossed above,buy,buy,In Long,4632577,2021-09-23 12:20:37.612556
95,KOTAKBANK,400,0.8263,"No buy, but in Long",crossed above,buy,buy,In Long,492033,2021-09-23 12:20:41.189937
96,L&TFH,8924,0.7946,"No sell, but in Short",crossed above,buy,buy,In Long,6386689,2021-09-23 12:20:41.951032
97,LALPATHLAB,250,0.2904,"No sell, but in Short",crossed above,buy,sell,In Long,2983425,2021-09-23 12:20:42.668672
98,LICHSGFIN,2000,0.4871,"No sell, but in Short",crossed above,buy,buy,In Short,511233,2021-09-23 12:20:46.256865
99,LT,575,0.4282,"No buy, but in Long",crossed above,buy,buy,In Long,2939649,2021-09-23 12:20:49.859401
100,LTI,150,0.6492,"No buy, but in Long",crossed above,buy,buy,In Long,4561409,2021-09-23 12:20:51.087676
101,LTTS,200,0.3974,"No sell, but in Short",crossed above,buy,buy,In Long,4752385,2021-09-23 12:20:52.111781
102,LUPIN,850,0.4736,"No buy, but in Long",crossed below,sell,sell,In Short,2672641,2021-09-23 12:20:55.794929
103,M&M,700,0.4346,"No sell, but in Short",crossed above,buy,sell,In Short,519937,2021-09-23 12:20:59.402397
104,M&MFIN,4000,0.6679,"No buy, but in Long",crossed above,buy,buy,In Long,3400961,2021-09-23 12:21:03.013486
105,MANAPPURAM,6000,0.5031,"No buy, but in Long",crossed above,buy,buy,In Long,4879617,2021-09-23 12:21:06.631364
106,MARICO,2000,0.4413,"No sell, but in Short",crossed above,buy,sell,In Short,1041153,2021-09-23 12:21:07.692153
107,MARUTI,100,0.4458,"No buy, but in Long",crossed above,buy,sell,In Short,2815745,2021-09-23 12:21:09.824789
108,MCDOWELL-N,1250,0.5470,"No buy, but in Long",crossed above,buy,buy,In Long,2674433,2021-09-23 12:21:10.830148
109,MCX,350,0.3551,"No buy, but in Long",crossed above,buy,buy,In Long,7982337,2021-09-23 12:21:11.895028
110,METROPOLIS,200,0.2698,"No sell, but in Short",crossed above,buy,sell,In Short,2452737,2021-09-23 12:21:15.633209
111,MFSL,650,0.3416,"No sell, but in Short",crossed below,sell,sell,In Short,548353,2021-09-23 12:21:19.157548
