,date,open,high,low,close,volume,oi,SUPERT_7_1.0,SUPERTd_7_1.0,SUPERTl_7_1.0,SUPERTs_7_1.0,SMA_5,SMA_14,SMA_28,WMA_14,SMA_44,VWAP_D,RSI_14,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
171,2021-08-20 10:15:00+05:30,18.6,19.15,16.7,16.8,57550,346750,21.013875228973227,-1,,21.013875228973227,20.690000000000005,25.892857142857146,25.56071428571429,23.32190476190459,24.528409090909097,18.3652499251721,30.084071720650186,,29.246759070826492,0.1,0
172,2021-08-20 10:45:00+05:30,16.6,16.8,15.2,15.2,87650,331050,18.87617876769134,-1,,18.87617876769134,18.65000000000001,24.500000000000004,25.25535714285715,21.896190476190306,24.414772727272734,17.45952754875016,27.762617524995242,,27.947083163743844,0.12000000000000001,0
173,2021-08-20 11:15:00+05:30,15.2,16.75,15.2,16.0,31050,325500,18.66172465802115,-1,,18.66172465802115,17.250000000000007,23.38571428571429,24.98928571428572,20.762857142856973,24.29204545454546,17.299122193059198,30.644390626299163,,26.417433184094584,0.12000000000000001,0
174,2021-08-20 11:45:00+05:30,16.0,16.95,15.8,16.85,31050,321350,18.66172465802115,-1,,18.66172465802115,16.69000000000001,22.35357142857143,24.75535714285715,19.891428571428403,24.25909090909091,17.224066182659932,33.67205643970237,,25.071341202003232,0.12000000000000001,0
175,2021-08-20 12:15:00+05:30,16.85,17.25,15.95,17.1,31100,315600,18.66172465802115,-1,,18.66172465802115,16.390000000000008,21.48214285714286,24.51785714285715,19.190952380952208,24.189772727272725,17.183177637252083,34.57667341781354,,23.886780257762844,0.12000000000000001,0
176,2021-08-20 12:45:00+05:30,17.1,17.45,16.3,16.45,15200,314650,18.66172465802115,-1,,18.66172465802115,16.32000000000001,20.685714285714287,24.280357142857152,18.519999999999825,24.106818181818184,17.164346369227943,33.304830542473155,,22.844366626831302,0.12000000000000001,0
177,2021-08-20 13:15:00+05:30,16.45,17.6,16.2,17.3,20350,326600,18.66172465802115,-1,,18.66172465802115,16.74000000000001,20.057142857142857,24.098214285714295,18.068571428571254,23.97159090909091,17.157393402008083,36.58957199018329,,21.927042631611545,0.12000000000000001,0
178,2021-08-20 13:45:00+05:30,17.3,18.4,17.0,17.9,21050,340150,18.66172465802115,-1,,18.66172465802115,17.12000000000001,19.392857142857142,23.921428571428578,17.780952380952204,23.879545454545454,17.189099711578077,38.87791934480616,,21.11979751581816,0.12000000000000001,0
179,2021-08-20 14:15:00+05:30,17.9,19.75,16.75,17.1,21550,335200,18.66172465802115,-1,,18.66172465802115,17.17000000000001,18.739285714285717,23.725000000000005,17.475238095237916,23.70909090909091,17.22337166999178,36.962574839506054,,20.40942181391998,0.12000000000000001,0
180,2021-08-20 14:45:00+05:30,17.1,18.95,17.1,18.5,21150,339500,18.66172465802115,-1,,18.66172465802115,17.45000000000001,18.275000000000002,23.558928571428577,17.443333333333154,23.622727272727275,17.26877236135957,42.31814638871727,,19.784291196249583,0.12000000000000001,0
181,2021-08-20 15:15:00+05:30,18.5,18.5,16.5,16.65,17100,344950,18.66172465802115,-1,,18.66172465802115,17.49000000000001,17.650000000000002,23.333928571428576,17.226666666666485,23.443181818181824,17.266853327589917,37.753632992855586,,19.75,0.12000000000000001,0
182,2021-08-23 09:15:00+05:30,20.9,21.15,17.1,17.5,54450,350550,18.66172465802115,-1,,18.66172465802115,17.53000000000001,17.25714285714286,22.92321428571429,17.206666666666482,23.294318181818188,18.583333333333332,40.90742222171051,15.2,,0.02,1
183,2021-08-23 09:45:00+05:30,17.5,18.15,16.65,16.65,19650,352250,19.670924498363558,-1,,19.670924498363558,17.280000000000012,17.042857142857144,22.446428571428577,17.1257142857141,23.127272727272732,18.20323886639676,38.79085210734201,15.318999999999999,,0.02,0
184,2021-08-23 10:15:00+05:30,16.65,17.0,15.7,16.1,15050,353750,18.482220998597338,-1,,18.482220998597338,17.080000000000013,16.864285714285717,21.946428571428577,16.999999999999815,22.947727272727278,17.876313329594318,37.44093926604526,15.435619999999998,,0.02,0
185,2021-08-23 10:45:00+05:30,16.1,16.25,14.9,15.6,32250,360100,17.59547514165486,-1,,17.59547514165486,16.50000000000001,16.77857142857143,21.33571428571429,16.831428571428386,22.72613636363637,17.26718149368479,36.20736492754494,,21.15,0.02,1
