,date,open,high,low,close,volume,oi,SUPERT_7_1.0,SUPERTd_7_1.0,SUPERTl_7_1.0,SUPERTs_7_1.0,SMA_5,SMA_14,SMA_28,WMA_14,date,open,high,low,close,volume,oi,VWAP_D,RSI_14,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
10,2021-11-02 13:15:00+05:30,264.1,264.1,264.1,264.1,0,700,269.0209496043315,-1,,269.0209496043315,269.65999999999997,,,,2021-11-02 13:15:00+05:30,264.1,264.1,264.1,264.1,0,700,273.3666666666667,,203.21476979165743,,0.04,0
11,2021-11-02 13:45:00+05:30,264.1,271.6,264.1,271.6,100,700,262.5606146248587,1,262.5606146248587,,265.5999999999999,,,,2021-11-02 13:45:00+05:30,264.1,271.6,264.1,271.6,100,700,271.23333333333335,,206.76217899999114,,0.04,0
12,2021-11-02 14:15:00+05:30,271.6,271.6,271.6,271.6,0,700,267.06624110702177,1,267.06624110702177,,267.0999999999999,,,,2021-11-02 14:15:00+05:30,271.6,271.6,271.6,271.6,0,700,271.23333333333335,,210.16769183999148,,0.04,0
13,2021-11-02 14:45:00+05:30,271.6,271.6,271.6,271.6,0,700,267.7139209488758,1,267.7139209488758,,268.5999999999999,273.99285714285713,,272.81190476190477,2021-11-02 14:45:00+05:30,271.6,271.6,271.6,271.6,0,700,271.23333333333335,,213.43698416639182,,0.04,0
14,2021-11-02 15:15:00+05:30,271.6,271.6,271.6,271.6,0,700,268.2690750990364,1,268.2690750990364,,270.0999999999999,274.46428571428567,,272.49285714285713,2021-11-02 15:15:00+05:30,271.6,271.6,271.6,271.6,0,700,271.23333333333335,55.30546623794215,216.57550479973614,,0.04,0
15,2021-11-03 09:15:00+05:30,260.5,260.5,260.5,260.5,0,600,264.94079277225455,-1,,264.94079277225455,269.37999999999994,274.0678571428571,,270.6309523809524,2021-11-03 09:15:00+05:30,260.5,260.5,260.5,260.5,0,600,,46.39004149377593,219.5884846077467,,0.04,0
16,2021-11-03 09:45:00+05:30,260.5,260.5,223.6,225.0,1000,600,251.12782237621818,-1,,251.12782237621818,260.05999999999995,271.13571428571424,,264.0885714285714,2021-11-03 09:45:00+05:30,260.5,260.5,223.6,225.0,1000,600,236.36666666666667,29.828630066700867,222.48094522343683,,0.04,0
17,2021-11-03 10:15:00+05:30,225.0,227.8,220.05,227.75,900,1000,232.81313346532988,-1,,232.81313346532988,251.28999999999996,266.5535714285714,,258.30380952380955,2021-11-03 10:15:00+05:30,225.0,227.8,220.05,227.75,900,1000,231.07719298245618,31.85806926367106,,291.9,0.02,1
18,2021-11-03 10:45:00+05:30,225.9,237.3,225.4,228.35,1100,1300,232.81313346532988,-1,,232.81313346532988,242.63999999999996,262.0142857142856,,253.21000000000004,2021-11-03 10:45:00+05:30,225.9,237.3,225.4,228.35,1100,1300,230.8105555555556,32.318000082929274,,290.46299999999997,0.02,0
19,2021-11-03 11:15:00+05:30,228.35,235.55,224.0,224.0,600,1500,232.81313346532988,-1,,232.81313346532988,233.11999999999998,257.16428571428565,,248.1414285714286,2021-11-03 11:15:00+05:30,228.35,235.55,224.0,224.0,600,1500,230.31712962962965,30.700139422312272,,289.05474,0.02,0
20,2021-11-03 11:45:00+05:30,224.0,224.0,224.0,224.0,0,1500,232.26045722598033,-1,,232.26045722598033,225.82,252.31428571428563,,243.71952380952385,2021-11-03 11:45:00+05:30,224.0,224.0,224.0,224.0,0,1500,230.31712962962965,30.700139422312272,,287.6746452,0.02,0
21,2021-11-03 12:15:00+05:30,224.0,224.0,224.0,224.0,0,1500,231.08039190798314,-1,,231.08039190798314,225.61999999999998,249.4499999999999,,239.94428571428577,2021-11-03 12:15:00+05:30,224.0,224.0,224.0,224.0,0,1500,230.31712962962965,30.70013942231228,,286.322152296,0.02,0
22,2021-11-03 12:45:00+05:30,224.0,233.5,216.05,233.5,600,1700,216.21323550744304,1,216.21323550744304,,226.76999999999998,247.26428571428565,,237.8176190476191,2021-11-03 12:45:00+05:30,224.0,233.5,216.05,233.5,600,1700,229.94087301587302,39.02600991941051,,284.99670925008,0.04,0
23,2021-11-03 13:15:00+05:30,233.5,233.5,220.05,221.05,300,1700,217.51491614923688,1,217.51491614923688,,225.31,244.18928571428566,,234.322380952381,2021-11-03 13:15:00+05:30,233.5,233.5,220.05,221.05,300,1700,229.6025925925926,33.36806469148364,,282.2388408800768,0.04,0
24,2021-11-03 13:45:00+05:30,221.05,221.05,216.0,218.0,600,2000,217.51491614923688,1,217.51491614923688,,224.10999999999999,240.89642857142852,,230.83047619047622,2021-11-03 13:45:00+05:30,221.05,221.05,216.0,218.0,600,2000,228.27875816993466,32.13878907002535,,279.59128724487374,0.06,0
25,2021-11-03 14:15:00+05:30,218.0,220.0,208.0,208.0,400,2000,223.13597997198923,-1,,223.13597997198923,220.91,236.35357142857137,,226.44428571428577,2021-11-03 14:15:00+05:30,218.0,220.0,208.0,208.0,400,2000,227.0948484848485,28.43944888378962,,275.7758100101813,0.08,0
26,2021-11-03 14:45:00+05:30,208.0,218.45,194.0,196.05,800,2600,217.5486971188479,-1,,217.5486971188479,215.32,230.95714285714283,,221.07047619047623,2021-11-03 14:45:00+05:30,208.0,218.45,194.0,196.05,800,2600,224.0140211640212,24.770202266438172,,270.3537452093668,0.1,0
27,2021-11-03 15:15:00+05:30,196.05,202.0,196.05,199.0,700,2600,209.58102610186964,-1,,209.58102610186964,208.42,225.77142857142854,249.8821428571429,216.80952380952385,2021-11-03 15:15:00+05:30,196.05,202.0,196.05,199.0,700,2600,221.51428571428573,27.26501456704375,,262.7183706884301,0.1,0
28,2021-11-04 18:15:00+05:30,175.0,188.1,167.0,188.1,2500,3300,191.1694509444597,-1,,191.1694509444597,201.82999999999998,219.80714285714285,247.13571428571433,211.78666666666672,2021-11-04 18:15:00+05:30,175.0,188.1,167.0,188.1,2500,3300,181.0666666666667,24.0865863848348,,255.84653361958712,0.12000000000000001,0
29,2021-11-04 18:45:00+05:30,188.1,188.25,170.0,176.85,900,3300,191.1694509444597,-1,,191.1694509444597,193.6,213.83214285714283,243.95000000000005,206.0590476190477,2021-11-04 18:45:00+05:30,188.1,188.25,170.0,176.85,900,3300,180.35196078431375,21.32360473673751,,245.18494958523667,0.12000000000000001,0
