,date,open,high,low,close,volume,oi,SUPERT_7_1.0,SUPERTd_7_1.0,SUPERTl_7_1.0,SUPERTs_7_1.0,SMA_5,SMA_14,SMA_28,WMA_14,SMA_44,VWAP_D,RSI_14,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
1863,2021-10-19 13:01:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.56859281007945,1,179.56859281007945,,179.12999999999977,176.89285714285694,177.60714285714252,177.72142857145283,180.70454545454587,202.2150234741784,65.14417056690885,,182.78174165242655,0.02,0
1864,2021-10-19 13:02:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.63022240863953,1,179.63022240863953,,179.99999999999977,177.20357142857122,177.4285714285711,178.13571428573857,180.54545454545496,202.2150234741784,65.14417056690885,,182.63910681937801,0.02,0
1865,2021-10-19 13:03:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.68304777883387,1,179.68304777883387,,179.99999999999977,177.5142857142855,177.2499999999997,178.50857142859576,180.38636363636405,202.2150234741784,65.14417056690885,,182.49932468299045,0.02,0
1866,2021-10-19 13:04:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.7283266675719,1,179.7283266675719,,179.99999999999977,177.8249999999998,177.07142857142824,178.84000000002436,180.22727272727315,202.2150234741784,65.14417056690885,,182.36233818933064,0.02,0
1867,2021-10-19 13:05:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.76713714363305,1,179.76713714363305,,179.99999999999977,178.13571428571407,176.89285714285683,179.1300000000244,180.06818181818224,202.2150234741784,65.14417056690885,,182.22809142554402,0.02,0
1868,2021-10-19 13:06:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.8004032659712,1,179.8004032659712,,179.99999999999977,178.44642857142836,177.04821428571398,179.37857142859588,179.90909090909133,202.2150234741784,65.14417056690885,,182.09652959703314,0.02,0
1869,2021-10-19 13:07:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.82891708511815,1,179.82891708511815,,179.99999999999977,178.7571428571426,177.20357142857114,179.58571428573882,179.75000000000043,202.2150234741784,65.14417056690884,,181.96759900509247,0.02,0
1870,2021-10-19 13:08:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.85335750152984,1,179.85335750152984,,179.99999999999977,179.0678571428569,177.3589285714283,179.75142857145315,179.5909090909095,202.2150234741784,65.14417056690885,,181.84124702499062,0.02,0
1871,2021-10-19 13:09:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.87430642988272,1,179.87430642988272,,179.99999999999977,179.37857142857118,177.51428571428545,179.87571428573892,179.43181818181858,202.2150234741784,65.14417056690885,,181.7174220844908,0.02,0
1872,2021-10-19 13:10:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.8922626541852,1,179.8922626541852,,179.99999999999977,179.68928571428546,177.6696428571426,179.95857142859612,179.27272727272768,202.2150234741784,65.14417056690885,,181.596073642801,0.02,0
1873,2021-10-19 13:11:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.9076537035873,1,179.9076537035873,,179.99999999999977,179.99999999999974,177.82499999999976,180.00000000002473,179.15909090909133,202.2150234741784,65.14417056690887,,181.477152169945,0.02,0
1874,2021-10-19 13:12:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.92084603164628,1,179.92084603164628,,179.99999999999977,179.99999999999974,177.98035714285692,180.0000000000248,179.04545454545496,202.2150234741784,65.14417056690885,,181.36060912654608,0.02,0
1875,2021-10-19 13:13:00+05:30,180.0,180.0,180.0,180.0,0,8500,179.9321537414111,1,179.9321537414111,,179.99999999999977,179.99999999999974,178.13571428571407,180.00000000002487,178.93181818181858,202.2150234741784,65.14417056690885,,181.24639694401515,0.02,0
