,date,open,high,low,close,volume,oi,SUPERT_7_3.0,SUPERTd_7_3.0,SUPERTl_7_3.0,SUPERTs_7_3.0,SUPERT_4_0.6,SUPERTd_4_0.6,SUPERTl_4_0.6,SUPERTs_4_0.6,SUPERT_10_1.2,SUPERTd_10_1.2,SUPERTl_10_1.2,SUPERTs_10_1.2,SUPERT_15_1.4,SUPERTd_15_1.4,SUPERTl_15_1.4,SUPERTs_15_1.4,SUPERT_4_0.4,SUPERTd_4_0.4,SUPERTl_4_0.4,SUPERTs_4_0.4,SMA_44,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
37,2021-08-06 14:45:00+05:30,35745.55,35799.45,35723.1,35789.3,0,0,35618.69074472694,1,35618.69074472694,,35822.73378957,-1,,35822.73378957,35913.52335917949,-1,,35913.52335917949,35950.31881927865,-1,,35950.31881927865,35802.24752637999,-1,,35802.24752637999,,,36064.9940596,0.02,False
38,2021-08-06 15:15:00+05:30,35788.05,35907.25,35784.4,35882.1,0,0,35618.69074472694,1,35618.69074472694,,35781.3033667535,1,35781.3033667535,,35913.52335917949,-1,,35913.52335917949,35950.31881927865,-1,,35950.31881927865,35802.81057783566,1,35802.81057783566,,,,36057.934178408,0.02,False
39,2021-08-09 09:15:00+05:30,35824.2,36105.7,35681.8,36072.1,0,0,35618.69074472694,1,35618.69074472694,,35781.77329782918,1,35781.77329782918,,35705.76480710882,1,35705.76480710882,,35677.055680396865,1,35677.055680396865,,35819.09886521946,1,35819.09886521946,,,35712.0,,0.02,True
40,2021-08-09 09:45:00+05:30,36073.4,36158.5,36024.3,36101.25,0,0,35618.69074472694,1,35618.69074472694,,35987.2875326874,1,35987.2875326874,,35906.1456542973,1,35906.1456542973,,35876.74727091276,1,35876.74727091276,,36021.99168845827,1,36021.99168845827,,,35681.8,,0.02,False
41,2021-08-09 10:15:00+05:30,36099.95,36120.65,35981.35,36030.4,0,0,35618.69074472694,1,35618.69074472694,,35987.2875326874,1,35987.2875326874,,35906.1456542973,1,35906.1456542973,,35876.74727091276,1,35876.74727091276,,36021.99168845827,1,36021.99168845827,,,35681.8,,0.04,False
42,2021-08-09 10:45:00+05:30,36029.95,36034.4,35924.7,36015.1,0,0,35618.69074472694,1,35618.69074472694,,35987.2875326874,1,35987.2875326874,,35906.1456542973,1,35906.1456542973,,35876.74727091276,1,35876.74727091276,,36040.00963727639,-1,,36040.00963727639,,35700.868,,0.04,False
43,2021-08-09 11:15:00+05:30,36015.9,36063.9,35995.1,36030.8,0,0,35618.69074472694,1,35618.69074472694,,35987.2875326874,1,35987.2875326874,,35906.1456542973,1,35906.1456542973,,35876.74727091276,1,35876.74727091276,,36040.00963727639,-1,,36040.00963727639,35892.62272727273,35719.17328,,0.04,False
44,2021-08-09 11:45:00+05:30,36032.3,36035.75,35938.5,35983.25,0,0,35618.69074472694,1,35618.69074472694,,36060.465277548574,-1,,36060.465277548574,35906.1456542973,1,35906.1456542973,,35876.74727091276,1,35876.74727091276,,36036.018518365716,-1,,36036.018518365716,35901.362499999996,35736.7463488,,0.04,False
45,2021-08-09 12:15:00+05:30,35983.95,35997.3,35895.45,35993.05,0,0,35618.69074472694,1,35618.69074472694,,36016.65770268881,-1,,36016.65770268881,35906.1456542973,1,35906.1456542973,,35876.74727091276,1,35876.74727091276,,35993.23013512587,-1,,35993.23013512587,35909.86136363636,35753.616494848,,0.04,False
46,2021-08-09 12:45:00+05:30,35993.4,35995.8,35862.6,35940.8,0,0,35618.69074472694,1,35618.69074472694,,36001.89203025087,-1,,36001.89203025087,35906.1456542973,1,35906.1456542973,,35876.74727091276,1,35876.74727091276,,35977.66135350058,-1,,35977.66135350058,35911.86477272728,35769.81183505408,,0.04,False
47,2021-08-09 13:15:00+05:30,35945.3,35985.25,35785.0,35822.95,0,0,35618.69074472694,1,35618.69074472694,,35969.681534633266,-1,,35969.681534633266,36052.514299306524,-1,,36052.514299306524,36083.6411378491,-1,,36083.6411378491,35941.49602308885,-1,,35941.49602308885,35908.42954545454,,36158.5,0.04,True
48,2021-08-09 13:45:00+05:30,35824.05,35960.55,35761.15,35955.55,0,0,35618.69074472694,1,35618.69074472694,,35954.1774075978,-1,,35954.1774075978,36035.469774088844,-1,,36035.469774088844,36064.931767587244,-1,,36064.931767587244,35798.63172826814,1,35798.63172826814,,35912.48522727273,,36151.03,0.02,False
49,2021-08-09 14:15:00+05:30,35955.75,36030.1,35897.1,35937.25,0,0,35618.69074472694,1,35618.69074472694,,35954.1774075978,-1,,35954.1774075978,36035.469774088844,-1,,36035.469774088844,36064.931767587244,-1,,36064.931767587244,35903.63629747791,1,35903.63629747791,,35913.21590909091,,36135.434799999995,0.04,False
50,2021-08-09 14:45:00+05:30,35936.2,36050.05,35909.35,36017.9,0,0,35618.69074472694,1,35618.69074472694,,35891.135835249384,1,35891.135835249384,,36035.469774088844,-1,,36035.469774088844,36064.931767587244,-1,,36064.931767587244,35920.657223499584,1,35920.657223499584,,35914.93409090909,,36120.463407999996,0.04,False
51,2021-08-09 15:15:00+05:30,36017.15,36056.95,36000.7,36014.8,0,0,35632.92695161144,1,35632.92695161144,,35953.96438080238,1,35953.96438080238,,36035.469774088844,-1,,36035.469774088844,36064.931767587244,-1,,36064.931767587244,35978.91792053492,1,35978.91792053492,,35917.943181818184,,36106.09087168,0.04,False
52,2021-08-10 09:15:00+05:30,35954.55,36250.7,35954.55,36169.8,0,0,35636.34246673995,1,35636.34246673995,,36002.057029459866,1,36002.057029459866,,35921.10716951797,1,35921.10716951797,,35893.55942267501,1,35893.55942267501,,36035.57968630658,1,36035.57968630658,,35920.910227272725,35761.15,,0.04,True
