,date,open,high,low,close,volume,oi,SUPERT_7_0.4,SUPERTd_7_0.4,SUPERTl_7_0.4,SUPERTs_7_0.4,SMA_44,VWAP_D,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
179,2021-07-26 14:15:00+05:30,648.35,656.4,648.35,652.0,700,100075,646.9240642450783,1,646.9240642450783,,681.7352272727271,639.6983660130719,622.6823425968387,,0.02,0
180,2021-07-26 14:45:00+05:30,652.0,668.2,652.0,656.75,250,100075,654.50205506721,1,654.50205506721,,678.1579545454543,640.1597288676236,623.8286957449019,,0.02,0
181,2021-07-26 15:15:00+05:30,656.75,670.15,656.75,670.15,600,99675,657.8860472004657,1,657.8860472004657,,675.1329545454545,641.5456259426848,624.9521218300039,,0.02,0
182,2021-07-27 09:15:00+05:30,637.0,640.0,632.2,639.1,950,99925,643.0376738281723,-1,,643.0376738281723,671.6806818181817,637.1,626.0530793934038,,0.02,0
183,2021-07-27 09:45:00+05:30,639.1,640.0,635.0,635.5,650,100775,643.0376738281723,-1,,643.0376738281723,668.390909090909,636.9916666666667,627.1320178055357,,0.02,0
184,2021-07-27 10:15:00+05:30,635.5,635.5,627.0,629.9,350,100825,637.0776787309021,-1,,637.0776787309021,664.3874999999999,635.8803418803419,,680.0,0.02,1
185,2021-07-27 10:45:00+05:30,629.9,650.0,629.9,650.0,1450,101625,633.8062753735126,1,633.8062753735126,,660.7511363636363,639.0446078431373,,678.94,0.02,0
186,2021-07-27 11:15:00+05:30,650.0,664.75,650.0,662.45,1500,101725,651.2660931772964,1,651.2660931772964,,657.2193181818182,645.1738095238096,,677.9012,0.02,0
187,2021-07-27 11:45:00+05:30,662.45,662.45,650.85,658.2,2700,103975,651.2660931772964,1,651.2660931772964,,655.8375,649.4344298245614,,676.883176,0.02,0
188,2021-07-27 12:15:00+05:30,658.2,716.35,658.2,716.25,3450,106075,678.8958031506669,1,678.8958031506669,,656.2977272727272,664.2644042232278,627.0,,0.02,1
189,2021-07-27 12:45:00+05:30,716.25,764.75,700.0,759.6,7150,106250,721.4928312720001,1,721.4928312720001,,657.9477272727272,694.5873168498168,628.787,,0.04,0
190,2021-07-27 13:15:00+05:30,759.6,759.6,724.7,724.7,4000,105200,730.8281410902858,1,730.8281410902858,,658.9965909090909,702.1091216216216,634.2255200000001,,0.04,0
191,2021-07-27 13:45:00+05:30,717.1,757.6,717.1,752.85,650,104400,730.8281410902858,1,730.8281410902858,,660.5613636363636,703.2585703865792,639.4464992000001,,0.04,0
192,2021-07-27 14:15:00+05:30,752.85,768.75,752.7,752.7,2050,105700,749.5060832500059,1,749.5060832500059,,662.440909090909,707.7695113788488,644.4586392320001,,0.06,0
193,2021-07-27 14:45:00+05:30,752.7,753.15,733.9,739.75,2750,106400,754.2412143571378,-1,,754.2412143571378,663.9829545454545,711.2005123568415,651.91612087808,,0.06,0
194,2021-07-27 15:15:00+05:30,739.75,741.05,737.85,741.0,1150,107500,748.8181837346896,-1,,748.8181837346896,665.4147727272726,712.3491608796297,658.9261536253953,,0.06,0
195,2021-07-28 09:15:00+05:30,766.5,822.7,766.5,816.7,4250,109300,781.9015567988375,1,781.9015567988375,,668.6352272727272,801.9666666666667,665.5155844078715,,0.08,0
196,2021-07-28 09:45:00+05:30,816.7,830.0,809.6,819.25,3350,110425,807.7499058275749,1,807.7499058275749,,671.8454545454545,809.746600877193,678.0903376552418,,0.1,0
197,2021-07-28 10:15:00+05:30,819.25,903.85,819.25,903.85,6450,114475,846.3870621379214,1,846.3870621379214,,676.5056818181818,840.0011862396204,693.2813038897176,,0.12000000000000001,0
198,2021-07-28 10:45:00+05:30,903.85,951.45,878.0,878.0,4350,116575,897.5310532610755,1,897.5310532610755,,681.2102272727271,854.7727807971015,718.5495474229515,,0.14,0
199,2021-07-28 11:15:00+05:30,878.0,893.0,860.15,889.85,1800,117075,893.1898114905067,-1,,893.1898114905067,686.3204545454545,857.1098597359737,751.1556107837383,,0.14,0
200,2021-07-28 11:45:00+05:30,889.85,889.85,850.0,850.0,1600,117775,886.4434098490057,-1,,886.4434098490057,689.7249999999999,857.5629587155963,779.1968252740149,,0.14,0
201,2021-07-28 12:15:00+05:30,850.0,850.0,829.5,832.85,3800,120725,855.080065584862,-1,,855.080065584862,693.6534090909089,854.57744140625,803.3122697356529,,0.14,0
202,2021-07-28 12:45:00+05:30,832.85,832.85,819.75,819.75,600,121025,840.1886276441675,-1,,840.1886276441675,696.9431818181816,853.8798664122137,,951.45,0.02,1
203,2021-07-28 13:15:00+05:30,819.75,821.1,783.65,786.95,3300,122375,816.419537980715,-1,,816.419537980715,699.7272727272725,847.5431355932203,,948.816,0.04,0
204,2021-07-28 13:45:00+05:30,786.95,795.0,774.25,788.4,1950,124425,797.8488896977557,-1,,797.8488896977557,702.4636363636363,843.7200317965024,,942.2093600000001,0.06,0
205,2021-07-28 14:15:00+05:30,788.4,822.0,788.4,821.1,750,124825,791.9452374019237,1,791.9452374019237,,706.0795454545453,842.9462732919254,,932.1317984000001,0.06,0
206,2021-07-28 14:45:00+05:30,821.1,821.1,759.8,776.45,2000,125725,805.3140822269227,-1,,805.3140822269227,708.806818181818,839.603411306043,,922.6588904960001,0.08,0
207,2021-07-28 15:15:00+05:30,776.45,779.65,771.2,776.0,550,126025,788.6484990516478,-1,,788.6484990516478,712.0113636363635,838.5906714628298,,909.6301792563202,0.08,0
208,2021-07-29 09:15:00+05:30,730.05,763.2,719.95,740.45,1800,126675,756.1122849014125,-1,,756.1122849014125,714.5590909090907,741.2000000000002,,897.6437649158146,0.1,0
209,2021-07-29 09:45:00+05:30,740.45,740.45,727.4,731.7,450,126625,747.1312442012106,-1,,747.1312442012106,717.1886363636363,739.5966666666668,,879.8743884242331,0.1,0
210,2021-07-29 10:15:00+05:30,731.7,732.0,720.0,720.0,250,127000,738.0053521724664,-1,,738.0053521724664,719.4159090909089,738.0370000000001,,863.8819495818097,0.1,0
211,2021-07-29 10:45:00+05:30,715.0,720.0,710.0,717.95,800,127400,725.8617304335426,-1,,725.8617304335426,721.3761363636363,732.6906565656567,,849.4887546236288,0.12000000000000001,0
212,2021-07-29 11:15:00+05:30,717.95,719.9,700.0,709.6,3050,129850,720.3971975144651,-1,,720.3971975144651,722.8272727272725,721.711942257218,,832.7501040687933,0.14,0
213,2021-07-29 11:45:00+05:30,709.6,722.2,709.6,721.4,1750,131050,706.2252592733157,1,706.2252592733157,,724.4499999999999,720.8523662551441,,814.1650894991623,0.14,0
214,2021-07-29 12:15:00+05:30,721.4,729.95,715.1,717.15,3100,133500,713.3837936628421,1,713.3837936628421,,726.4306818181817,720.8194196428573,,798.1819769692795,0.14,0
215,2021-07-29 12:45:00+05:30,717.15,720.0,705.9,709.5,3800,135950,721.5910340032783,-1,,721.5910340032783,728.4647727272727,718.5345000000001,,784.4365001935804,0.14,0
216,2021-07-29 13:15:00+05:30,709.5,714.45,704.25,705.0,8150,144450,717.3394577170957,-1,,717.3394577170957,730.3272727272727,714.79060475162,,772.6153901664792,0.14,0
217,2021-07-29 13:45:00+05:30,705.0,714.0,701.7,713.4,2000,145600,715.4009637575106,-1,,715.4009637575106,731.9715909090909,714.3857852882704,,762.4492355431721,0.14,0
218,2021-07-29 14:15:00+05:30,713.4,721.1,710.0,721.0,1500,146525,708.4434596364194,1,708.4434596364194,,733.6999999999999,714.553564727955,,753.706342567128,0.14,0
219,2021-07-29 14:45:00+05:30,721.0,725.0,707.5,721.0,950,146700,709.1586796883596,1,709.1586796883596,,735.5579545454545,714.6664553140097,,746.18745460773,0.14,0
220,2021-07-29 15:15:00+05:30,721.0,721.0,710.0,710.45,500,146800,709.1586796883596,1,709.1586796883596,,737.0681818181819,714.651334519573,,739.7212109626479,0.14,0
221,2021-07-30 09:15:00+05:30,738.35,741.5,714.0,714.35,950,147100,720.2269891587948,1,720.2269891587948,,738.6670454545455,723.2833333333333,700.0,,0.02,1
222,2021-07-30 09:45:00+05:30,714.35,723.9,709.0,714.65,800,147800,723.7497235781759,-1,,723.7497235781759,740.1738636363636,719.885238095238,700.83,,0.02,0
223,2021-07-30 10:15:00+05:30,714.65,725.35,711.15,716.75,3800,148150,723.7497235781759,-1,,723.7497235781759,741.6454545454545,718.4232732732733,701.6434,,0.02,0
224,2021-07-30 10:45:00+05:30,716.75,733.0,714.65,718.0,1900,147900,723.7497235781759,-1,,723.7497235781759,743.0375,719.3057046979866,702.4405320000001,,0.02,0
