,date,open,high,low,close,volume,oi,SUPERT_7_0.4,SUPERTd_7_0.4,SUPERTl_7_0.4,SUPERTs_7_0.4,SMA_44,VWAP_D,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
291,2021-08-06 11:45:00+05:30,42.0,47.2,41.6,46.3,10200,601100,46.861876194756505,-1,,46.861876194756505,43.65795454545452,48.59856284856285,,61.764966400000006,0.08,0
292,2021-08-06 12:15:00+05:30,46.3,47.0,44.95,46.25,6800,598850,46.861876194756505,-1,,46.861876194756505,44.311363636363616,48.458985272260506,,60.15176908800001,0.08,0
293,2021-08-06 12:45:00+05:30,46.25,47.05,44.75,46.05,6900,597450,46.861876194756505,-1,,46.861876194756505,44.93749999999998,48.32607165706973,,58.66762756096001,0.08,0
294,2021-08-06 13:15:00+05:30,46.05,48.0,42.85,44.0,41400,608075,46.861876194756505,-1,,46.861876194756505,45.52159090909089,47.511802116710356,,57.302217356083204,0.08,0
295,2021-08-06 13:45:00+05:30,44.0,44.45,42.75,43.55,18550,600300,45.44857623840251,-1,,45.44857623840251,46.023863636363615,47.128662811076055,,56.04603996759655,0.08,0
296,2021-08-06 14:15:00+05:30,43.55,44.75,43.0,43.5,20400,591200,45.44857623840251,-1,,45.44857623840251,46.5056818181818,46.80138493194048,,54.89035677018882,0.08,0
297,2021-08-06 14:45:00+05:30,43.5,44.15,40.25,40.85,24550,599800,43.86670907311205,-1,,43.86670907311205,46.90795454545452,46.27401304132114,,53.82712822857372,0.1,0
298,2021-08-06 15:15:00+05:30,40.85,44.05,40.0,44.0,18750,600675,40.36496365161825,1,40.36496365161825,,47.352272727272705,46.00884862806879,,52.46941540571635,0.12000000000000001,0
299,2021-08-09 09:15:00+05:30,43.05,47.8,39.8,45.85,79850,598175,41.91996884424421,1,41.91996884424421,,47.8397727272727,44.48333333333333,,50.97308555703039,0.14,0
300,2021-08-09 09:45:00+05:30,45.85,49.5,45.4,47.0,28400,608675,45.604259009352184,1,45.604259009352184,,48.368181818181796,45.22230177059276,39.8,,0.02,1
301,2021-08-09 10:15:00+05:30,47.0,47.45,44.6,45.85,10400,611125,45.604259009352184,1,45.604259009352184,,48.637499999999974,45.28754740834386,39.8,,0.02,0
302,2021-08-09 10:45:00+05:30,45.85,45.85,43.55,45.0,15800,615725,46.327075013537176,-1,,46.327075013537176,48.80340909090907,45.2302528821123,39.994,,0.02,0
303,2021-08-09 11:15:00+05:30,45.0,45.45,42.1,42.1,7850,614700,45.36106429731758,-1,,45.36106429731758,48.919318181818156,45.1191731084563,40.18412,,0.02,0
304,2021-08-09 11:45:00+05:30,42.1,42.25,39.05,40.2,11700,612550,42.19234082627221,-1,,42.19234082627221,48.66022727272725,44.76823593073592,,49.5,0.02,1
305,2021-08-09 12:15:00+05:30,40.2,40.2,36.95,39.4,16100,613750,40.082720708233325,-1,,40.082720708233325,48.35340909090906,44.20807368214775,,49.291,0.04,0
306,2021-08-09 12:45:00+05:30,39.4,39.55,35.95,37.05,9100,612400,39.24804632134285,-1,,39.24804632134285,47.881818181818154,43.86827566964285,,48.79736,0.06,0
307,2021-08-09 13:15:00+05:30,37.05,37.95,32.25,33.35,30150,615850,36.709753989722444,-1,,36.709753989722444,47.367045454545426,42.521483162168614,,48.0265184,0.08,0
308,2021-08-09 13:45:00+05:30,33.35,38.2,31.05,37.35,44250,641300,32.83663943738077,1,32.83663943738077,,47.17045454545451,41.3021391955836,,46.764396928000004,0.1,0
309,2021-08-09 14:15:00+05:30,37.35,38.8,35.1,36.7,15700,641650,35.20569094632637,1,35.20569094632637,,46.83295454545452,41.043554276519366,,45.192957235200005,0.1,0
310,2021-08-09 14:45:00+05:30,36.7,41.45,36.15,40.4,15400,637950,37.00202081113689,1,37.00202081113689,,46.63295454545451,40.951044959606605,,43.778661511680006,0.1,0
311,2021-08-09 15:15:00+05:30,40.4,42.05,40.0,40.0,16250,636200,39.36673212383162,1,39.36673212383162,,46.46136363636361,40.93658968820956,,42.505795360512,0.1,0
312,2021-08-10 09:15:00+05:30,41.2,46.75,40.95,44.75,51200,647950,42.04291324899853,1,42.04291324899853,,46.307954545454514,44.15,31.05,,0.02,1
313,2021-08-10 09:45:00+05:30,44.75,46.95,42.8,44.0,36950,660400,43.08892564199874,1,43.08892564199874,,46.15568181818178,44.33164114199282,31.364,,0.04,0
314,2021-08-10 10:15:00+05:30,44.0,45.0,42.85,44.15,11750,661600,43.08892564199874,1,43.08892564199874,,46.011363636363605,44.292634300967634,31.98744,,0.04,0
315,2021-08-10 10:45:00+05:30,44.15,52.75,43.5,48.3,41700,666900,46.178904553305195,1,46.178904553305195,,45.938636363636334,45.43841219397364,32.5859424,,0.06,0
316,2021-08-10 11:15:00+05:30,48.3,51.65,47.0,50.9,22050,667700,47.39120390283303,1,47.39120390283303,,45.913636363636336,46.03282411650881,33.795785856,,0.06,0
317,2021-08-10 11:45:00+05:30,50.9,52.5,50.3,52.0,18400,673900,49.61674620242831,1,49.61674620242831,,46.11363636363633,46.59550489792182,34.933038704640005,,0.06,0
318,2021-08-10 12:15:00+05:30,52.0,52.7,49.45,51.5,16600,681500,49.61674620242831,1,49.61674620242831,,46.361363636363606,46.98166792516151,36.0020563823616,,0.06,0
319,2021-08-10 12:45:00+05:30,51.5,52.4,50.0,50.05,26800,685850,49.61674620242831,1,49.61674620242831,,46.549999999999976,47.43754712796629,37.0069329994199,,0.06,0
320,2021-08-10 13:15:00+05:30,50.05,52.0,49.5,50.2,23300,682000,49.61674620242831,1,49.61674620242831,,46.736363636363606,47.730646566164154,37.951517019454705,,0.06,0
321,2021-08-10 13:45:00+05:30,50.2,51.35,35.3,35.4,60000,689175,45.544857110226125,-1,,45.544857110226125,46.49545454545452,46.36112820512821,,52.75,0.02,1
322,2021-08-10 14:15:00+05:30,35.4,42.55,35.4,41.35,41450,697850,41.28630609447953,-1,,41.28630609447953,46.34318181818179,45.580601561012756,,52.401,0.02,0
323,2021-08-10 14:45:00+05:30,41.35,43.5,41.0,42.0,25850,693975,40.126023347588976,1,40.126023347588976,,46.11022727272724,45.345924744049995,,52.058980000000005,0.02,0
