,date,open,high,low,close,volume,oi,SUPERT_6_0.2,SUPERTd_6_0.2,SUPERTl_6_0.2,SUPERTs_6_0.2
43,2021-05-14 12:50:00+05:30,239.2,244.5,235.0,241.3,4425,103575,242.6426532194492,-1,,242.6426532194492
44,2021-05-14 12:55:00+05:30,241.3,245.0,236.4,240.1,4425,104925,242.6426532194492,-1,,242.6426532194492
45,2021-05-14 13:00:00+05:30,240.1,243.55,236.2,238.35,2400,104925,242.36758468836004,-1,,242.36758468836004
46,2021-05-14 13:05:00+05:30,238.35,242.4,223.2,226.1,7425,105225,235.51719655648552,-1,,235.51719655648552
47,2021-05-14 13:10:00+05:30,226.1,233.0,220.4,233.0,5925,105225,229.384325262377,-1,,229.384325262377
48,2021-05-14 13:15:00+05:30,233.0,247.15,233.0,242.5,4950,105225,237.36639241277518,1,237.36639241277518,
49,2021-05-14 13:20:00+05:30,242.5,247.15,232.0,235.05,2175,105450,242.33717887602538,-1,,242.33717887602538
50,2021-05-14 13:25:00+05:30,235.05,235.05,225.25,225.25,2775,104625,232.7784701528888,-1,,232.7784701528888
51,2021-05-14 13:30:00+05:30,225.25,225.6,208.55,209.15,11325,103950,219.83373506777994,-1,,219.83373506777994
52,2021-05-14 13:35:00+05:30,209.15,231.65,209.15,231.05,11100,103425,217.3510356542854,1,217.3510356542854,
53,2021-05-14 13:40:00+05:30,231.6,232.95,224.05,232.4,4950,102525,225.66254092005354,1,225.66254092005354,
54,2021-05-14 13:45:00+05:30,232.4,233.05,224.0,224.0,2700,102525,231.19120833748076,-1,,231.19120833748076
55,2021-05-14 13:50:00+05:30,224.0,228.15,220.0,224.5,3600,101175,226.56850059222043,-1,,226.56850059222043
56,2021-05-14 13:55:00+05:30,224.5,252.0,224.5,252.0,11400,102300,235.25540080604083,1,235.25540080604083,
57,2021-05-14 14:00:00+05:30,251.4,257.0,235.15,243.9,6525,102000,242.8511614799966,1,242.8511614799966,
58,2021-05-14 14:05:00+05:30,243.9,243.9,225.0,225.0,8625,100200,237.7665340740857,-1,,237.7665340740857
59,2021-05-14 14:10:00+05:30,225.0,235.5,223.2,230.65,6675,101475,232.52377586153975,-1,,232.52377586153975
60,2021-05-14 14:15:00+05:30,230.65,233.6,221.95,221.95,5025,100875,230.80814447146068,-1,,230.80814447146068
61,2021-05-14 14:20:00+05:30,226.35,232.7,220.0,232.65,5550,101250,223.39904728673977,1,223.39904728673977,
62,2021-05-14 14:25:00+05:30,235.1,242.15,228.1,231.3,7500,101250,232.19753964688917,1,232.19753964688917,
63,2021-05-14 14:30:00+05:30,229.75,231.3,221.3,225.3,4500,99075,229.07288230462825,-1,,229.07288230462825
64,2021-05-14 14:35:00+05:30,225.3,225.3,204.2,212.55,29025,99000,217.7640703073734,-1,,217.7640703073734
65,2021-05-14 14:40:00+05:30,212.55,222.4,208.1,221.65,8700,99675,212.26160822980762,1,212.26160822980762,
66,2021-05-14 14:45:00+05:30,221.65,221.65,188.6,195.75,31725,99150,208.71699613139808,-1,,208.71699613139808
67,2021-05-14 14:50:00+05:30,195.75,203.25,192.35,202.75,13350,98100,201.15666247151847,-1,,201.15666247151847
68,2021-05-14 14:55:00+05:30,202.75,211.15,199.6,202.85,15975,98775,202.19278187373416,1,202.19278187373416,
69,2021-05-14 15:00:00+05:30,202.85,222.85,202.85,212.65,19350,101175,209.5314845041173,1,209.5314845041173,
70,2021-05-14 15:05:00+05:30,212.65,228.15,212.65,227.95,13950,101175,217.11790384041993,1,217.11790384041993,
71,2021-05-14 15:10:00+05:30,227.95,227.95,216.05,218.0,17025,102900,218.86825349961273,1,218.86825349961273,
72,2021-05-14 15:15:00+05:30,218.75,219.0,211.5,212.1,13350,98100,218.10978829922442,-1,,218.10978829922442
73,2021-05-14 15:20:00+05:30,213.3,217.6,205.95,208.2,18975,95250,214.54649012730317,-1,,214.54649012730317
74,2021-05-14 15:25:00+05:30,207.55,213.2,206.5,211.95,15300,95100,212.38290816460196,-1,,212.38290816460196
75,2021-05-17 09:15:00+05:30,176.0,180.8,156.4,156.4,48000,99975,172.56242484269254,-1,,172.56242484269254
76,2021-05-17 09:20:00+05:30,155.1,174.9,147.1,161.0,62700,108000,165.2286875818981,-1,,165.2286875818981
77,2021-05-17 09:25:00+05:30,161.1,173.55,152.7,170.8,73800,112125,158.90609368827174,1,158.90609368827174,
78,2021-05-17 09:30:00+05:30,170.8,173.25,155.95,157.8,62625,117000,168.6924218561785,-1,,168.6924218561785
79,2021-05-17 09:35:00+05:30,157.8,158.3,148.2,154.1,62625,127575,156.99701805358984,-1,,156.99701805358984
80,2021-05-17 09:40:00+05:30,154.35,155.3,141.2,146.45,85200,145350,151.84251498505682,-1,,151.84251498505682
81,2021-05-17 09:45:00+05:30,146.55,150.85,137.7,146.85,57150,154575,147.70709576931102,-1,,147.70709576931102
82,2021-05-17 09:50:00+05:30,148.2,151.3,143.25,144.25,33525,156975,147.70709576931102,-1,,147.70709576931102
83,2021-05-17 09:55:00+05:30,144.0,147.15,141.25,143.8,40425,171075,147.00367747728794,-1,,147.00367747728794
84,2021-05-17 10:00:00+05:30,143.8,143.8,127.35,129.0,99750,169950,138.4597312461521,-1,,138.4597312461521
85,2021-05-17 10:05:00+05:30,129.0,133.35,126.3,128.45,65325,179250,132.4639426670224,-1,,132.4639426670224
86,2021-05-17 10:10:00+05:30,127.75,130.55,120.0,121.0,141525,220875,127.82578554446292,-1,,127.82578554446292
87,2021-05-17 10:15:00+05:30,119.35,123.0,116.0,117.65,163950,253800,121.85898793307035,-1,,121.85898793307035
88,2021-05-17 10:20:00+05:30,116.9,126.0,115.0,126.0,180375,293625,118.16751005815199,1,118.16751005815199,
89,2021-05-17 10:25:00+05:30,125.5,128.3,122.65,124.35,87900,297000,123.34292506344367,1,123.34292506344367,
90,2021-05-17 10:30:00+05:30,124.0,128.9,120.55,128.25,110175,297375,122.6699375576678,1,122.6699375576678,
91,2021-05-17 10:35:00+05:30,128.25,128.35,116.75,117.45,123525,307950,124.64921870423603,-1,,124.64921870423603
92,2021-05-17 10:40:00+05:30,116.95,118.45,112.7,118.25,136350,345975,117.5160155800186,-1,,117.5160155800186
93,2021-05-17 10:45:00+05:30,118.0,121.75,117.5,119.6,72000,351750,117.86582035654055,1,117.86582035654055,
94,2021-05-17 10:50:00+05:30,119.05,122.5,116.9,122.5,75375,362850,118.0473503003179,1,118.0473503003179,
95,2021-05-17 10:55:00+05:30,122.35,123.1,118.05,122.55,89025,363975,119.02945858628001,1,119.02945858628001,
96,2021-05-17 11:00:00+05:30,122.55,123.15,118.55,119.75,81900,372450,119.40871549074201,1,119.40871549074201,
97,2021-05-17 11:05:00+05:30,119.45,120.4,117.0,119.2,81150,360900,120.01440375550885,-1,,120.01440375550885
98,2021-05-17 11:10:00+05:30,119.05,122.5,115.95,122.2,65100,366900,117.91133020375325,1,117.91133020375325,
99,2021-05-17 11:15:00+05:30,121.85,124.75,117.4,120.35,102300,370275,119.73527516947978,1,119.73527516947978,
100,2021-05-17 11:20:00+05:30,120.25,121.75,115.7,116.3,80700,391500,120.04310402521595,-1,,120.04310402521595
101,2021-05-17 11:25:00+05:30,116.25,119.95,114.4,119.0,96375,394425,118.45842002072249,-1,,118.45842002072249
102,2021-05-17 11:30:00+05:30,119.2,121.25,115.75,117.4,73125,397725,118.45842002072249,-1,,118.45842002072249
103,2021-05-17 11:35:00+05:30,117.4,119.0,114.6,118.15,71775,411600,117.99070834718407,-1,,117.99070834718407
104,2021-05-17 11:40:00+05:30,118.15,121.5,117.3,120.0,59025,422100,118.26774304429692,1,118.26774304429692,
