,date,open,high,low,close,volume,oi
64,2021-05-10 14:35:00+05:30,355.4,355.4,343.35,346.2,4350,47875
65,2021-05-10 14:40:00+05:30,347.15,350.85,335.1,345.45,3700,48500
66,2021-05-10 14:45:00+05:30,345.45,349.6,340.0,349.6,3500,50300
67,2021-05-10 14:50:00+05:30,349.6,359.2,343.2,345.95,3675,51225
68,2021-05-10 14:55:00+05:30,345.95,350.0,342.9,348.0,5150,53300
69,2021-05-10 15:00:00+05:30,348.0,352.8,344.25,346.45,6625,55725
70,2021-05-10 15:05:00+05:30,346.45,349.65,340.7,345.95,1350,55550
71,2021-05-10 15:10:00+05:30,345.95,345.95,333.0,342.0,3075,55475
72,2021-05-10 15:15:00+05:30,342.0,345.75,339.15,341.9,2725,55875
73,2021-05-10 15:20:00+05:30,340.4,341.9,327.5,331.05,7325,56925
74,2021-05-10 15:25:00+05:30,331.05,331.75,315.0,315.0,10025,57150
75,2021-05-11 09:15:00+05:30,471.75,515.0,463.35,463.5,33400,57150
76,2021-05-11 09:20:00+05:30,464.9,476.6,443.0,448.15,13475,55850
77,2021-05-11 09:25:00+05:30,448.15,459.8,436.5,440.65,20100,58225
78,2021-05-11 09:30:00+05:30,441.0,451.15,432.0,436.2,12875,58250
79,2021-05-11 09:35:00+05:30,438.25,445.2,424.55,430.65,7050,59100
80,2021-05-11 09:40:00+05:30,430.65,436.9,426.75,434.85,8675,59650
81,2021-05-11 09:45:00+05:30,434.85,445.6,434.5,438.65,16750,61175
82,2021-05-11 09:50:00+05:30,438.45,438.65,414.6,425.5,15675,67325
83,2021-05-11 09:55:00+05:30,425.5,427.65,416.0,417.1,8000,72450
84,2021-05-11 10:00:00+05:30,417.1,421.1,408.85,414.55,11150,73800
85,2021-05-11 10:05:00+05:30,414.55,423.3,407.25,407.25,16500,76425
86,2021-05-11 10:10:00+05:30,407.25,407.25,397.0,397.0,9525,80325
87,2021-05-11 10:15:00+05:30,397.0,409.95,387.15,409.0,9575,80900
