,date,open,high,low,close,volume,oi,SUPERT_7_3.0,SUPERTd_7_3.0,SUPERTl_7_3.0,SUPERTs_7_3.0,SUPERT_4_0.6,SUPERTd_4_0.6,SUPERTl_4_0.6,SUPERTs_4_0.6,SUPERT_10_1.2,SUPERTd_10_1.2,SUPERTl_10_1.2,SUPERTs_10_1.2,SUPERT_15_1.4,SUPERTd_15_1.4,SUPERTl_15_1.4,SUPERTs_15_1.4,SUPERT_4_0.4,SUPERTd_4_0.4,SUPERTl_4_0.4,SUPERTs_4_0.4,SMA_44,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2
28,2021-08-06 10:15:00+05:30,16317.25,16327.9,16241.5,16258.55,0,0,16235.208159010395,1,16235.208159010395,,16315.307417955191,-1,,16315.307417955191,16334.608258576762,-1,,16334.608258576762,16340.445876863501,-1,,16340.445876863501,16305.104945303461,-1,,16305.104945303461,,,16345.590880000002,0.02,False
29,2021-08-06 10:45:00+05:30,16259.15,16280.7,16237.0,16270.15,0,0,16235.208159010395,1,16235.208159010395,,16288.36036755284,-1,,16288.36036755284,16309.022640160654,-1,,16309.022640160654,16315.01047994234,-1,,16315.01047994234,16278.52357836856,-1,,16278.52357836856,,,16341.427244800001,0.04,False
30,2021-08-06 11:15:00+05:30,16270.4,16286.95,16240.5,16242.3,0,0,16235.208159010395,1,16235.208159010395,,16288.36036755284,-1,,16288.36036755284,16309.022640160654,-1,,16309.022640160654,16315.01047994234,-1,,16315.01047994234,16278.52357836856,-1,,16278.52357836856,,,16335.161610112002,0.06,False
31,2021-08-06 11:45:00+05:30,16241.3,16285.8,16240.7,16280.35,0,0,16235.208159010395,1,16235.208159010395,,16288.36036755284,-1,,16288.36036755284,16309.022640160654,-1,,16309.022640160654,16315.01047994234,-1,,16315.01047994234,16244.189923795466,1,16244.189923795466,,,,16329.271913505281,0.06,False
32,2021-08-06 12:15:00+05:30,16279.7,16283.15,16263.35,16274.15,0,0,16235.208159010395,1,16235.208159010395,,16288.36036755284,-1,,16288.36036755284,16309.022640160654,-1,,16309.022640160654,16315.01047994234,-1,,16315.01047994234,16256.975152683848,1,16256.975152683848,,,,16323.735598694964,0.06,False
33,2021-08-06 12:45:00+05:30,16274.0,16276.8,16247.65,16259.85,0,0,16235.208159010395,1,16235.208159010395,,16284.906605440297,-1,,16284.906605440297,16309.022640160654,-1,,16309.022640160654,16315.01047994234,-1,,16315.01047994234,16256.975152683848,1,16256.975152683848,,,,16318.531462773266,0.06,False
34,2021-08-06 13:15:00+05:30,16260.05,16274.0,16242.25,16264.95,0,0,16235.208159010395,1,16235.208159010395,,16279.898665603216,-1,,16279.898665603216,16304.13238897409,-1,,16304.13238897409,16311.473643871259,-1,,16311.473643871259,16256.975152683848,1,16256.975152683848,,,,16313.63957500687,0.06,False
35,2021-08-06 13:45:00+05:30,16264.6,16272.4,16248.6,16259.85,0,0,16235.208159010395,1,16235.208159010395,,16279.898665603216,-1,,16279.898665603216,16304.13238897409,-1,,16304.13238897409,16311.473643871259,-1,,16311.473643871259,16256.975152683848,1,16256.975152683848,,,,16309.041200506457,0.06,False
36,2021-08-06 14:15:00+05:30,16259.0,16273.1,16254.95,16256.35,0,0,16235.208159010395,1,16235.208159010395,,16279.898665603216,-1,,16279.898665603216,16304.13238897409,-1,,16304.13238897409,16311.473643871259,-1,,16311.473643871259,16275.790059030054,-1,,16275.790059030054,,,16304.71872847607,0.06,False
37,2021-08-06 14:45:00+05:30,16256.45,16261.0,16224.0,16230.4,0,0,16344.674466357268,-1,,16344.674466357268,16261.285711756602,-1,,16261.285711756602,16284.683162055413,-1,,16284.683162055413,16292.608356871067,-1,,16292.608356871067,16255.023807837735,-1,,16255.023807837735,,,16300.655604767506,0.06,False
